Country,BasePlatformID,PlatformName,VariantName,VariantType,Manufacturer,Sector,DroneClass,RolePrimary,RoleSecondary,LaunchType,RecoveryType,PropulsionType,Wingspan_m,MTOW_kg,MaxPayload_kg,Endurance_hr,OperationalRange_km,DataLinkRange_km,CruiseSpeed_kmh,MaxSpeed_kmh,ServiceCeiling_m,PowerSource,ArmamentCapable,SensorTypes,IntroductionYear,Status,Notes
France,FR_MALE_RP,EuroMALE,EuroMALE,Joint Program,Airbus/Leonardo/Dassault,Military,MALE,ISR,Strike,Runway,Runway,Propeller,N/A,N/A,N/A,40,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,EO/IR SAR,2028,Development,European MALE UAV program
France,FR_REAPER,MQ-9 Reaper,MQ-9A,Production Variant,General Atomics,Military,MALE,ISR,Strike,Runway,Runway,Propeller,20.1,4760,1700,27,1850,N/A,313,482,15000,Internal Fuel,Yes,EO/IR SAR SIGINT,2014,Active,French Air Force operated
United Kingdom,UK_REAPER,MQ-9 Reaper,MQ-9A,Production Variant,General Atomics,Military,MALE,ISR,Strike,Runway,Runway,Propeller,20.1,4760,1700,27,1850,N/A,313,482,15000,Internal Fuel,Yes,EO/IR SAR SIGINT,2007,Active,RAF operated
Italy,IT_REAPER,MQ-9 Reaper,MQ-9A,Production Variant,General Atomics,Military,MALE,ISR,Strike,Runway,Runway,Propeller,20.1,4760,1700,27,1850,N/A,313,482,15000,Internal Fuel,Yes,EO/IR SAR SIGINT,2007,Active,Italian Air Force operated
Germany,DE_HERON_TP,Heron TP,Heron TP,Production Variant,IAI,Military,HALE,ISR,Surveillance,Runway,Runway,Turboprop,26,4650,1000,36,1500,N/A,250,460,14000,Internal Fuel,No,EO/IR SAR SIGINT,2021,Active,German Air Force leased system
France,FR_PATROLLER,Patroller,Patroller,Production Variant,Safran,Military,Tactical,ISR,Surveillance,Runway,Runway,Propeller,18,1050,250,20,250,N/A,120,200,6000,Internal Fuel,No,EO/IR SAR,2023,Active,French Army tactical UAV
United Kingdom,UK_WATCHKEEPER,Watchkeeper WK450,WK450,Production Variant,Thales UK,Military,Tactical,ISR,Surveillance,Runway,Runway,Propeller,10.9,450,150,16,150,N/A,100,150,5500,Internal Fuel,No,EO/IR SAR,2018,Active,British Army UAV
Germany,DE_LUNA,LeLUNA,LeLUNA,Production Variant,EMT,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,4.2,40,N/A,8,65,N/A,70,100,3500,Internal Fuel,No,EO/IR,2000,Active,Battalion-level ISR UAV
Italy,IT_FALCO,Falco,Falco EVO,Upgraded Variant,Leonardo,Military,Tactical,ISR,Surveillance,Runway,Runway,Propeller,12.5,650,100,20,300,N/A,130,200,6500,Internal Fuel,No,EO/IR SAR,2020,Active,Export-capable UAV
Spain,ES_SIVA,SIVA,SIVA,Production Variant,Airbus,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,5.7,110,N/A,6,50,N/A,90,120,4000,Internal Fuel,No,EO/IR,2009,Active,Spanish Army UAV
France,FR_DRAC,DRAC,DRAC,Production Variant,Thales,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,N/A,3.5,N/A,90,10,N/A,50,70,1000,Battery,No,EO/IR,2008,Active,Infantry-level ISR
Germany,DE_ALADIN,ALADIN,ALADIN,Production Variant,EMT,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,1.46,3.3,N/A,30,5,N/A,45,65,300,Battery,No,EO,2005,Active,Short-range UAV
United Kingdom,UK_DESERTHAWK,Desert Hawk III,Desert Hawk III,Production Variant,Lockheed Martin,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,1.37,3,N/A,90,15,N/A,50,80,150,Battery,No,EO/IR,2007,Active,Deployed for ground forces
Italy,IT_RAVEN,Raven RQ-11,RQ-11 Raven,Production Variant,AeroVironment,Military,Micro,ISR,None,Hand Launch,Belly Landing,Electric,N/A,1.9,0.2,90,N/A,N/A,45,80,500,Battery,No,EO,2003,Active,Licensed deployment
France,FR_HAROP,Harop,Harop,Production Variant,IAI,Military,Loitering Munition,Strike,None,Canister Launch,Impact,Propeller,3,135,N/A,6,1000,N/A,185,N/A,N/A,Internal Fuel,Yes,EO/IR,2009,Active,In service with European operators
Germany,DE_HERO,HERO,HERO-120,Production Variant,UVision,Military,Loitering Munition,Strike,None,Tube Launch,Impact,Electric,N/A,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Battery,Yes,EO/IR,2022,Active,Procured for Bundeswehr
United Kingdom,UK_FIRE_SHADOW,Fire Shadow,Fire Shadow,Prototype,MBDA,Military,Loitering Munition,Strike,None,Catapult,Impact,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2012,Retired,Early loitering munition program
France,FR_NEURON,nEUROn,nEUROn Demonstrator,Prototype,Dassault,Military,UCAV,Strike,ISR,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2012,Experimental,European stealth UCAV demonstrator
United Kingdom,UK_TARANIS,Taranis,Taranis,Prototype,BAE Systems,Military,UCAV,Strike,ISR,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2013,Experimental,Stealth UCAV program
Italy,IT_SKY_Y,Sky-Y,Sky-Y,Prototype,Leonardo,Military,UCAV,ISR,None,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,No,N/A,2007,Experimental,Technology demonstrator
