Country,BasePlatformID,PlatformName,VariantName,VariantType,Manufacturer,Sector,DroneClass,RolePrimary,RoleSecondary,LaunchType,RecoveryType,PropulsionType,Wingspan_m,MTOW_kg,MaxPayload_kg,Endurance_hr,OperationalRange_km,DataLinkRange_km,CruiseSpeed_kmh,MaxSpeed_kmh,ServiceCeiling_m,PowerSource,ArmamentCapable,SensorTypes,IntroductionYear,Status,Notes
Russia,RU_ORION,Orion,Orion-E,Export Variant,Kronshtadt,Military,MALE,ISR,Strike,Runway,Runway,Propeller,N/A,1000,200,24,250,N/A,120,200,7500,Internal Fuel,Yes,EO/IR,2020,Active,First Russian MALE UAV
Russia,RU_ORION,Orion,Orion-M,Upgraded Variant,Kronshtadt,Military,MALE,ISR,Strike,Runway,Runway,Propeller,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,N/A,2022,Active,Improved payload and avionics
Russia,RU_ALTIUS,Altius,Altius-U,HALE Variant,Ural Civil Aviation Plant,Military,HALE,ISR,Strike,Runway,Runway,Propeller,N/A,6000,1000,48,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,EO/IR SAR,2021,Limited Service,Long endurance heavy UAV
Russia,RU_FORPOST,Forpost,Forpost-R,Upgraded Variant,Ural Civil Aviation Plant,Military,Tactical,ISR,None,Runway,Runway,Propeller,8.6,500,100,18,250,N/A,120,200,6000,Internal Fuel,No,EO/IR,2019,Active,Licensed Heron derivative
Russia,RU_ORLAN10,Orlan-10,Orlan-10,Production Variant,Special Technology Center,Military,Tactical,ISR,EW,Catapult,Parachute,Propeller,3.1,18,N/A,16,120,N/A,90,150,5000,Fuel,No,EO/IR SIGINT,2013,Active,Mass-deployed tactical UAV
Russia,RU_ORLAN30,Orlan-30,Orlan-30,Production Variant,Special Technology Center,Military,Tactical,ISR,Artillery Spotting,Catapult,Parachute,Propeller,N/A,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fuel,No,EO/IR Laser Designator,2021,Active,Artillery correction role
Russia,RU_Eleron3,Eleron-3SV,Eleron-3SV,Production Variant,ENIKS,Military,Small Tactical,ISR,None,Hand Launch,Parachute,Electric,1.47,5.3,N/A,120,25,N/A,70,130,3000,Battery,No,EO/IR,2012,Active,Short-range ISR UAV
Russia,RU_ZALA421,ZALA 421-16E,ZALA 421-16E,Production Variant,ZALA Aero,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,N/A,10,N/A,150,50,N/A,80,150,3600,Battery,No,EO/IR,2016,Active,Widely used compact UAV
Russia,RU_TAKION,Takhion,Takhion,Production Variant,Izhmash Unmanned Systems,Military,Small Tactical,ISR,None,Catapult,Parachute,Electric,2,25,N/A,120,40,N/A,90,150,4000,Battery,No,EO/IR,2014,Active,Battalion-level UAV
Russia,RU_LANCET,Lancet,Lancet-1,Light Variant,ZALA Aero,Military,Loitering Munition,Strike,None,Catapult,Impact,Electric,N/A,5,N/A,40,40,N/A,80,110,N/A,Battery,Yes,EO,2019,Active,Precision loitering munition
Russia,RU_LANCET,Lancet,Lancet-3,Heavy Variant,ZALA Aero,Military,Loitering Munition,Strike,None,Catapult,Impact,Electric,N/A,12,N/A,60,70,N/A,80,110,N/A,Battery,Yes,EO,2019,Active,Extended range variant
Russia,RU_KUB,KUB-BLA,KUB-BLA,Production Variant,ZALA Aero,Military,Loitering Munition,Strike,None,Catapult,Impact,Electric,N/A,3,N/A,30,40,N/A,80,130,N/A,Battery,Yes,EO,2019,Active,Earlier loitering UAV design
Russia,RU_OKHOTNIK,S-70 Okhotnik,S-70B,Prototype,Sukhoi,Military,UCAV,Strike,ISR,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2019,Experimental,Stealth heavy UCAV
Russia,RU_GROM,Grom,Grom,Prototype,Kronshtadt,Military,UCAV,Strike,Swarm Control,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2020,Experimental,Unmanned combat aircraft concept
