Country,BasePlatformID,PlatformName,VariantName,VariantType,Manufacturer,Sector,DroneClass,RolePrimary,RoleSecondary,LaunchType,RecoveryType,PropulsionType,Wingspan_m,MTOW_kg,MaxPayload_kg,Endurance_hr,OperationalRange_km,DataLinkRange_km,CruiseSpeed_kmh,MaxSpeed_kmh,ServiceCeiling_m,PowerSource,ArmamentCapable,SensorTypes,IntroductionYear,Status,Notes
Türkiye,TR_TB2,Bayraktar TB2,TB2,Production Variant,Baykar,Military,MALE,ISR,Strike,Runway,Runway,Propeller,12,700,150,27,300,150,130,220,8200,Internal Fuel,Yes,EO/IR Laser Designator,2014,Active,Combat-proven MALE UAV
Türkiye,TR_TB2,Bayraktar TB2,TB2-S,SATCOM Variant,Baykar,Military,MALE,ISR,Strike,Runway,Runway,Propeller,12,700,150,27,1000,N/A,130,220,8200,Internal Fuel,Yes,EO/IR Laser Designator,2020,Active,SATCOM-enabled variant
Türkiye,TR_ANKA,ANKA,ANKA-A,Base Variant,TAI,Military,MALE,ISR,Surveillance,Runway,Runway,Propeller,17.3,1600,350,24,400,N/A,200,250,9100,Internal Fuel,No,EO/IR SAR,2013,Active,Early ANKA variant
Türkiye,TR_ANKA,ANKA,ANKA-S,SATCOM Variant,TAI,Military,MALE,ISR,Strike,Runway,Runway,Propeller,17.3,1600,350,30,500,N/A,200,250,9100,Internal Fuel,Yes,EO/IR SAR,2016,Active,SATCOM-capable
Türkiye,TR_AKINCI,AKINCI,AKINCI A,Production Variant,Baykar,Military,HALE,ISR,Strike,Runway,Runway,Turboprop,20,5500,1350,24,750,N/A,250,360,12000,Internal Fuel,Yes,EO/IR SAR AESA,2021,Active,Heavy strike UAV
Türkiye,TR_AKINCI,AKINCI,AKINCI B,Upgraded Variant,Baykar,Military,HALE,ISR,Strike,Runway,Runway,Turboprop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,N/A,2023,Active,Improved payload configuration
Türkiye,TR_KARAYEL,Karayel,Karayel-SU,Production Variant,Vestel Defence,Military,Tactical,ISR,Strike,Runway,Runway,Propeller,10.5,500,120,20,150,N/A,120,200,5500,Internal Fuel,Yes,EO/IR Laser Designator,2016,Active,Naval-capable version
Türkiye,TR_TURNAL,Türnal,Türnal,Production Variant,TAI,Military,Tactical,ISR,None,Catapult,Parachute,Propeller,N/A,30,N/A,6,50,N/A,90,120,3000,Internal Fuel,No,EO/IR,2009,Active,Short-range tactical UAV
Türkiye,TR_KARGU,Kargu,Kargu ISR,ISR Variant,STM,Military,Micro,ISR,None,Hand Launch,Vertical Landing,Electric,N/A,7,N/A,30,5,N/A,40,60,500,Battery,No,EO/IR,2018,Active,Rotary-wing micro UAV
Türkiye,TR_GÖZCÜ,Gözcü,Gözcü,Production Variant,Aselsan,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,N/A,4,N/A,60,10,N/A,50,80,800,Battery,No,EO/IR,2017,Active,Infantry ISR UAV
Türkiye,TR_PEREGRINE,Peregrine,Peregrine,Production Variant,Baykar,Military,Small Tactical,ISR,None,Hand Launch,Belly Landing,Electric,N/A,3.5,N/A,45,10,N/A,50,75,600,Battery,No,EO/IR,2019,Active,Compact ISR UAV
Türkiye,TR_KARGU_LM,Kargu,Kargu LM,Loitering Variant,STM,Military,Loitering Munition,Strike,None,Tube Launch,Impact,Electric,N/A,7,N/A,30,10,N/A,40,60,N/A,Battery,Yes,EO,2018,Active,Anti-personnel loitering munition
Türkiye,TR_ALPAGU,Alpagu,Alpagu,Production Variant,STM,Military,Loitering Munition,Strike,None,Tube Launch,Impact,Electric,N/A,1.9,N/A,10,5,N/A,60,80,N/A,Battery,Yes,EO,2019,Active,Man-portable loitering munition
Türkiye,TR_KIZILELMA,K?z?lelma,K?z?lelma MIUS,Prototype,Baykar,Military,UCAV,Strike,ISR,Runway,Runway,Jet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jet Fuel,Yes,N/A,2022,Experimental,Jet-powered UCAV program
Türkiye,TR_ANADOLU_NAVAL,Naval UAV,TB3,Carrier Variant,Baykar,Military,MALE,ISR,Strike,Short Runway,Arrested Landing,Propeller,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal Fuel,Yes,N/A,2024,Testing,Designed for TCG Anadolu
