BatteryID,Brand,Category,SubCategory,BatteryChemistry,CellCount_S,Voltage_V,Capacity_mAh,DischargeRate_C,Energy_Wh,ConnectorType,IntendedUse,CompatibleDroneType
BAT-0001,GNB,Batteries,LiPo FPV Battery,LiPo,4,14.8,1300,120,19.24,XT60,Freestyle FPV,FPV
BAT-0002,GNB,Batteries,LiPo FPV Battery,LiPo,3,11.1,1850,100,20.54,XT60,Training / Beginner FPV,FPV
BAT-0003,GNB,Batteries,LiPo FPV Battery,LiPo,6,22.2,1100,120,24.42,XT60,Freestyle / Racing,FPV
BAT-0004,GNB,Batteries,LiPo FPV Battery,LiPo,4,14.8,1550,120,22.94,XT60,Freestyle FPV,FPV
BAT-0005,GNB,Batteries,LiPo FPV Battery,LiPo,6,22.2,1300,120,28.86,XT60,Freestyle / Long Range,FPV
BAT-0006,Tattu,Batteries,LiPo FPV Battery,LiPo,4,14.8,1500,120,22.2,XT60,Freestyle FPV,FPV
BAT-0007,Tattu,Batteries,LiPo FPV Battery,LiPo,6,22.2,1300,120,28.86,XT60,Freestyle / Racing,FPV
BAT-0008,Tattu,Batteries,LiPo FPV Battery,LiPo,6,22.2,1800,100,39.96,XT90,Long Range FPV,FPV
BAT-0009,Herewin,Batteries,Industrial LiPo Battery,LiPo,6,22.2,22000,25,488.4,XT90,Agriculture / Heavy Lift,Agricultural
BAT-0010,Herewin,Batteries,Industrial LiPo Battery,LiPo,12,44.4,16000,25,710.4,AS150,Agriculture Drone,Agricultural
BAT-0011,Herewin,Batteries,Industrial LiPo Battery,LiPo,14,51.8,20000,20,1036,AS150,Heavy Lift UAV,Agricultural
BAT-0012,CNHY,Batteries,LiPo FPV Battery,LiPo,4,14.8,1500,100,22.2,XT60,Freestyle FPV,FPV
BAT-0013,CNHY,Batteries,LiPo FPV Battery,LiPo,6,22.2,1300,100,28.86,XT60,Freestyle FPV,FPV
BAT-0014,Bonka,Batteries,LiPo FPV Battery,LiPo,6,22.2,1550,120,34.41,XT60,Freestyle FPV,FPV
BAT-0015,Bonka,Batteries,LiPo FPV Battery,LiPo,4,14.8,1500,120,22.2,XT60,Freestyle FPV,FPV
BAT-0016,Ovonic,Batteries,LiPo FPV Battery,LiPo,4,14.8,1300,100,19.24,XT60,Beginner FPV,FPV
BAT-0017,Ovonic,Batteries,LiPo FPV Battery,LiPo,6,22.2,1200,100,26.64,XT60,Freestyle FPV,FPV
BAT-0018,Zeee,Batteries,LiPo FPV Battery,LiPo,3,11.1,2200,80,24.42,XT60,Trainer Drone,FPV
BAT-0019,Zeee,Batteries,LiPo FPV Battery,LiPo,4,14.8,5200,50,76.96,XT90,Fixed Wing UAV,Fixed Wing
BAT-0020,Tattu,Batteries,Smart Battery (UAV),Li-ion,6,22.2,16000,10,355.2,AS150,Mapping / Survey UAV,Industrial
BAT-0021,GNB,Batteries,LiPo FPV Battery,LiPo,4,14.8,1500,120,22.2,XT60,Freestyle FPV,FPV
BAT-0022,GNB,Batteries,LiPo FPV Battery,LiPo,6,22.2,1500,120,33.3,XT60,Freestyle FPV,FPV
BAT-0023,GNB,Batteries,LiPo FPV Battery,LiPo,6,22.2,1800,100,39.96,XT90,Long Range FPV,FPV
BAT-0024,Tattu,Batteries,LiPo FPV Battery,LiPo,4,14.8,1800,100,26.64,XT60,Freestyle FPV,FPV
BAT-0025,Tattu,Batteries,LiPo FPV Battery,LiPo,6,22.2,1600,100,35.52,XT60,Freestyle / Racing,FPV
BAT-0026,Tattu,Batteries,LiPo FPV Battery,LiPo,6,22.2,2200,75,48.84,XT90,Long Range FPV,FPV
BAT-0027,CNHY,Batteries,LiPo FPV Battery,LiPo,4,14.8,1300,100,19.24,XT60,Freestyle FPV,FPV
BAT-0028,CNHY,Batteries,LiPo FPV Battery,LiPo,6,22.2,1500,100,33.3,XT60,Freestyle FPV,FPV
BAT-0029,Bonka,Batteries,LiPo FPV Battery,LiPo,4,14.8,1800,120,26.64,XT60,Freestyle FPV,FPV
BAT-0030,Bonka,Batteries,LiPo FPV Battery,LiPo,6,22.2,1500,120,33.3,XT60,Freestyle FPV,FPV
BAT-0031,Ovonics,Batteries,LiPo FPV Battery,LiPo,3,11.1,2200,80,24.42,XT60,Beginner FPV,FPV
BAT-0032,Ovonics,Batteries,LiPo FPV Battery,LiPo,4,14.8,1550,100,22.94,XT60,Freestyle FPV,FPV
BAT-0033,Zeee,Batteries,LiPo FPV Battery,LiPo,4,14.8,5200,50,76.96,XT90,Fixed Wing,Fixed Wing
BAT-0034,Zeee,Batteries,LiPo FPV Battery,LiPo,6,22.2,6000,50,133.2,XT90,Fixed Wing,Fixed Wing
BAT-0035,Tattu,Batteries,Li-ion UAV Battery,Li-ion,6,22.2,6000,15,133.2,XT90,Long Endurance UAV,FPV / Fixed Wing
BAT-0036,Tattu,Batteries,Li-ion UAV Battery,Li-ion,6,22.2,10000,15,222,XT90,Long Endurance UAV,FPV / Fixed Wing
BAT-0037,Herewin,Batteries,Industrial LiPo Battery,LiPo,6,22.2,16000,25,355.2,AS150,Agriculture UAV,Agricultural
BAT-0038,Herewin,Batteries,Industrial LiPo Battery,LiPo,12,44.4,22000,20,976.8,AS150,Agriculture UAV,Agricultural
BAT-0039,Herewin,Batteries,Industrial LiPo Battery,LiPo,14,51.8,18000,20,932.4,AS150,Heavy Lift UAV,Agricultural
BAT-0040,Herewin,Batteries,Industrial LiPo Battery,LiPo,18,66.6,16000,15,1065.6,AS150,Heavy Lift UAV,Agricultural
BAT-0041,Grepow,Batteries,LiPo FPV Battery,LiPo,4,14.8,1500,100,22.2,XT60,Freestyle FPV,FPV
BAT-0042,Grepow,Batteries,LiPo FPV Battery,LiPo,6,22.2,1800,100,39.96,XT60,Freestyle FPV,FPV
BAT-0043,Panasonic,Batteries,Li-ion UAV Battery,Li-ion,4,14.8,7000,10,103.6,XT60,Long Endurance UAV,FPV / Fixed Wing
BAT-0044,Panasonic,Batteries,Li-ion UAV Battery,Li-ion,6,22.2,10000,10,222,XT90,Long Endurance UAV,Fixed Wing
BAT-0045,Samsung,Batteries,Li-ion UAV Battery,Li-ion,6,22.2,8000,15,177.6,XT90,Survey UAV,Fixed Wing
BAT-0046,Samsung,Batteries,Li-ion UAV Battery,Li-ion,8,29.6,10000,15,296,XT90,Survey UAV,Fixed Wing
BAT-0047,Tattu,Batteries,Smart UAV Battery,Li-ion,12,44.4,16000,10,710.4,AS150,Mapping UAV,Industrial
BAT-0048,Tattu,Batteries,Smart UAV Battery,Li-ion,14,51.8,18000,10,932.4,AS150,Industrial UAV,Industrial
BAT-0049,Herewin,Batteries,Smart UAV Battery,Li-ion,12,44.4,20000,10,888,AS150,Agriculture UAV,Agricultural
BAT-0050,Herewin,Batteries,Smart UAV Battery,Li-ion,18,66.6,22000,8,1465.2,AS150,Heavy Lift UAV,Agricultural
