FrameID,Brand,Category,SubCategory,FrameType,Size_Inch,Wheelbase_mm,Material,ArmType,MountingPattern,SupportedDroneType,IntendedUse
FRM-0001,GEPRC,Frames,FPV Frame,Whoop Frame,2,75,Carbon + Plastic,Integrated,Whoop,FPV,Indoor FPV
FRM-0002,BetaFPV,Frames,FPV Frame,Whoop Frame,2,65,Plastic,Integrated,Whoop,FPV,Training
FRM-0003,Happymodel,Frames,FPV Frame,Whoop Frame,2,75,Plastic,Integrated,Whoop,FPV,Micro FPV
FRM-0004,Flywoo,Frames,FPV Frame,Whoop Frame,2.5,85,Carbon + Plastic,Integrated,Whoop,FPV,Cinematic Whoop
FRM-0005,iFlight,Frames,FPV Frame,Cinewhoop Frame,3,95,Carbon + Plastic,Integrated,Whoop,FPV,Cinematic FPV
FRM-0006,GEPRC,Frames,FPV Frame,Cinewhoop Frame,3.5,120,Carbon + Plastic,Integrated,20x20,FPV,Cinematic FPV
FRM-0007,iFlight,Frames,FPV Frame,Cinewhoop Frame,3.5,130,Carbon + Plastic,Integrated,20x20,FPV,Cinematic FPV
FRM-0008,Flywoo,Frames,FPV Frame,Cinewhoop Frame,3.5,135,Carbon + Plastic,Integrated,20x20,FPV,Cinematic FPV
FRM-0009,Diatone,Frames,FPV Frame,Cinewhoop Frame,3,110,Carbon + Plastic,Integrated,20x20,FPV,Cinematic FPV
FRM-0010,BetaFPV,Frames,FPV Frame,Cinewhoop Frame,3,95,Plastic,Integrated,Whoop,FPV,Cinematic FPV
FRM-0011,Armattan,Frames,FPV Frame,Freestyle Frame,5,220,Carbon,Replaceable,30x30,FPV,Freestyle
FRM-0012,iFlight,Frames,FPV Frame,Freestyle Frame,5,225,Carbon,Replaceable,30x30,FPV,Freestyle
FRM-0013,GEPRC,Frames,FPV Frame,Freestyle Frame,5,225,Carbon,Replaceable,30x30,FPV,Freestyle
FRM-0014,Diatone,Frames,FPV Frame,Freestyle Frame,5,230,Carbon,Replaceable,30x30,FPV,Freestyle
FRM-0015,ImpulseRC,Frames,FPV Frame,Freestyle Frame,5,220,Carbon,Replaceable,30x30,FPV,Freestyle
FRM-0016,TBS,Frames,FPV Frame,Freestyle Frame,5,215,Carbon,Replaceable,30x30,FPV,Freestyle
FRM-0017,Armattan,Frames,FPV Frame,Freestyle Frame,6,260,Carbon,Replaceable,30x30,FPV,Long Range Freestyle
FRM-0018,GEPRC,Frames,FPV Frame,Freestyle Frame,6,265,Carbon,Replaceable,30x30,FPV,Long Range FPV
FRM-0019,iFlight,Frames,FPV Frame,Freestyle Frame,7,295,Carbon,Replaceable,30x30,FPV,Long Range FPV
FRM-0020,Flywoo,Frames,FPV Frame,Long Range Frame,7,300,Carbon,Replaceable,30x30,FPV,Explorer FPV
FRM-0021,GEPRC,Frames,FPV Frame,Long Range Frame,10,420,Carbon,Replaceable,30x30,FPV,Ultra Long Range
FRM-0022,iFlight,Frames,FPV Frame,Long Range Frame,10,450,Carbon,Replaceable,30x30,FPV,Long Range FPV
FRM-0023,Reptile,Frames,FPV Frame,Long Range Frame,10,480,Carbon,Replaceable,30x30,FPV,Explorer FPV
FRM-0024,Flywoo,Frames,FPV Frame,Long Range Frame,9,380,Carbon,Replaceable,30x30,FPV,Long Endurance
FRM-0025,Custom,Frames,FPV Frame,Long Range Frame,8,350,Carbon,Replaceable,30x30,FPV,Custom Build
FRM-0026,RCExplorer,Frames,Fixed Wing Frame,Airplane Frame,Custom,800,EPO Foam,Fixed,Wing Mount,Fixed Wing,Mapping UAV
FRM-0027,RMRC,Frames,Fixed Wing Frame,Airplane Frame,Custom,900,EPO Foam,Fixed,Wing Mount,Fixed Wing,Long Range UAV
FRM-0028,Zeta,Frames,Fixed Wing Frame,Flying Wing,Custom,700,EPO Foam,Fixed,Wing Mount,Fixed Wing,FPV Wing
FRM-0029,AtomRC,Frames,Fixed Wing Frame,Airplane Frame,Custom,1200,EPO Foam,Fixed,Wing Mount,Fixed Wing,Survey UAV
FRM-0030,Custom,Frames,Fixed Wing Frame,Composite Wing,Custom,1500,Composite,Fixed,Wing Mount,Fixed Wing,Industrial UAV
,,,,,,,,,,,
FRM-0031,Holybro,Frames,Industrial Frame,Multirotor Frame,Custom,450,Carbon + Aluminum,Replaceable,30x30,Industrial,Survey UAV
FRM-0032,Tarot,Frames,Industrial Frame,Multirotor Frame,Custom,650,Carbon + Aluminum,Replaceable,Standard,Industrial,Heavy Lift
FRM-0033, Tarot,Frames,Industrial Frame,Multirotor Frame,Custom,960,Carbon + Aluminum,Replaceable,Standard,Industrial,Heavy Lift
FRM-0034,Custom,Frames,Industrial Frame,Multirotor Frame,Custom,1000,Carbon + Aluminum,Replaceable,Standard,Industrial,Payload UAV
FRM-0035,Custom,Frames,Industrial Frame,Multirotor Frame,Custom,1200,Carbon + Aluminum,Replaceable,Standard,Industrial,Mapping UAV
FRM-0036,Custom,Frames,VTOL Frame,VTOL Frame,Custom,900,Composite,Hybrid,Custom,Industrial,VTOL UAV
FRM-0037,Custom,Frames,VTOL Frame,VTOL Frame,Custom,1100,Composite,Hybrid,Custom,Industrial,VTOL UAV
FRM-0038,Custom,Frames,VTOL Frame,Tiltrotor Frame,Custom,1000,Composite,Hybrid,Custom,Industrial,VTOL UAV
FRM-0039,Custom,Frames,VTOL Frame,Tiltwing Frame,Custom,1200,Composite,Hybrid,Custom,Industrial,VTOL UAV
FRM-0040,Custom,Frames,VTOL Frame,Convertible Frame,Custom,950,Composite,Hybrid,Custom,Industrial,VTOL UAV
FRM-0041,Custom,Frames,Industrial Frame,Agriculture Frame,Custom,1600,Carbon + Aluminum,Replaceable,Standard,Industrial,Agriculture UAV
FRM-0042,Custom,Frames,Industrial Frame,Agriculture Frame,Custom,1800,Carbon + Aluminum,Replaceable,Standard,Industrial,Agriculture UAV
FRM-0043,Custom,Frames,Industrial Frame,Agriculture Frame,Custom,2000,Carbon + Aluminum,Replaceable,Standard,Industrial,Agriculture UAV
FRM-0044,Custom,Frames,Industrial Frame,Inspection Frame,Custom,1000,Carbon + Aluminum,Replaceable,Standard,Industrial,Inspection UAV
FRM-0045,Custom,Frames,Industrial Frame,Inspection Frame,Custom,1200,Carbon + Aluminum,Replaceable,Standard,Industrial,Inspection UAV
FRM-0046,Custom,Frames,Industrial Frame,Marine Frame,Custom,900,Aluminum + Composite,Replaceable,Sealed,Industrial,Marine UAV
FRM-0047,Custom,Frames,Industrial Frame,Marine Frame,Custom,1100,Aluminum + Composite,Replaceable,Sealed,Industrial,Marine UAV
FRM-0048,Custom,Frames,Industrial Frame,Rail Inspection Frame,Custom,950,Carbon + Aluminum,Replaceable,Standard,Industrial,Rail UAV
FRM-0049,Custom,Frames,Industrial Frame,Confined Space Frame,Custom,600,Carbon + Plastic,Protected,Standard,Industrial,Confined UAV
FRM-0050,Custom,Frames,Industrial Frame,,,,,,,,
FRM-0051,BetaFPV,Frames,FPV Frame,Micro Frame,1.6,65,Plastic,Integrated,Whoop,FPV,Tiny Whoop
FRM-0052,Happymodel,Frames,FPV Frame,Micro Frame,2,75,Plastic,Integrated,Whoop,FPV,Micro FPV
FRM-0053,Flywoo,Frames,FPV Frame,Micro Frame,2.5,90,Carbon,Replaceable,16x16,FPV,Micro Freestyle
FRM-0054,GEPRC,Frames,FPV Frame,Micro Frame,3,120,Carbon,Replaceable,20x20,FPV,Micro Freestyle
FRM-0055,Diatone,Frames,FPV Frame,Micro Frame,3,130,Carbon,Replaceable,20x20,FPV,Micro FPV
FRM-0056,GEPRC,Frames,FPV Frame,Racing Frame,5,210,Carbon,Replaceable,30x30,FPV,Racing
FRM-0057,iFlight,Frames,FPV Frame,Racing Frame,5,205,Carbon,Replaceable,30x30,FPV,Racing
FRM-0058,Diatone,Frames,FPV Frame,Racing Frame,5,200,Carbon,Replaceable,30x30,FPV,Racing
FRM-0059,ImpulseRC,Frames,FPV Frame,Racing Frame,5,198,Carbon,Replaceable,30x30,FPV,Racing
FRM-0060,T-Motor,Frames,FPV Frame,Racing Frame,5,215,Carbon,Replaceable,30x30,FPV,Racing
FRM-0061,GEPRC,Frames,FPV Frame,Endurance Frame,7,300,Carbon,Replaceable,30x30,FPV,Endurance FPV
FRM-0062,Flywoo,Frames,FPV Frame,Endurance Frame,8,360,Carbon,Replaceable,30x30,FPV,Endurance FPV
FRM-0063,Custom,Frames,FPV Frame,Endurance Frame,9,390,Carbon,Replaceable,30x30,FPV,Endurance FPV
FRM-0064,Custom,Frames,FPV Frame,Endurance Frame,10,430,Carbon,Replaceable,30x30,FPV,Ultra Endurance
FRM-0065,Reptile,Frames,FPV Frame,Foldable Frame,7,320,Carbon,Replaceable,30x30,FPV,Portable FPV
FRM-0066,Reptile,Frames,FPV Frame,Foldable Frame,10,460,Carbon,Replaceable,30x30,FPV,Portable LR
FRM-0067,Custom,Frames,FPV Frame,Modular Frame,5,225,Carbon,Modular,30x30,FPV,Custom Builds
FRM-0068,Custom,Frames,FPV Frame,Modular Frame,7,295,Carbon,Modular,30x30,FPV,Custom Builds
FRM-0069,Holybro,Frames,Industrial Frame,Survey Frame,Custom,500,Carbon + Aluminum,Replaceable,30x30,Industrial,Survey UAV
FRM-0070,Holybro,Frames,Industrial Frame,Survey Frame,Custom,700,Carbon + Aluminum,Replaceable,Standard,Industrial,Survey UAV
FRM-0071,Tarot,Frames,Industrial Frame,Survey Frame,Custom,800,Carbon + Aluminum,Replaceable,Standard,Industrial,Survey UAV
FRM-0072,Tarot,Frames,Industrial Frame,Survey Frame,Custom,1000,Carbon + Aluminum,Replaceable,Standard,Industrial,Survey UAV
FRM-0073,Custom,Frames,Industrial Frame,Inspection Frame,Custom,850,Carbon + Aluminum,Replaceable,Standard,Industrial,Inspection UAV
FRM-0074,Custom,Frames,Industrial Frame,Inspection Frame,Custom,1050,Carbon + Aluminum,Replaceable,Standard,Industrial,Inspection UAV
FRM-0075,Custom,Frames,Industrial Frame,Delivery Frame,Custom,1200,Carbon + Aluminum,Replaceable,Standard,Industrial,Delivery UAV
FRM-0076,Custom,Frames,Industrial Frame,Delivery Frame,Custom,1500,Carbon + Aluminum,Replaceable,Standard,Industrial,Heavy Delivery
FRM-0077,Custom,Frames,Industrial Frame,Confined Frame,Custom,550,Carbon + Plastic,Protected,Standard,Industrial,Confined UAV
FRM-0078,Custom,Frames,Industrial Frame,Confined Frame,Custom,650,Carbon + Plastic,Protected,Standard,Industrial,Confined UAV
FRM-0079,Custom,Frames,Industrial Frame,Underwater Frame,Custom,800,Aluminum + Composite,Sealed,Custom,Industrial,UUV
FRM-0080,Custom,Frames,Industrial Frame,Underwater Frame,Custom,1000,Aluminum + Composite,Sealed,Custom,Industrial,UUV
FRM-0081,Custom,Frames,VTOL Frame,Fixed-Wing VTOL,Custom,1300,Composite,Hybrid,Custom,Industrial,VTOL UAV
FRM-0082,Custom,Frames,VTOL Frame,Quadplane VTOL,Custom,1100,Composite,Hybrid,Custom,Industrial,VTOL UAV
FRM-0083,Custom,Frames,VTOL Frame,Tiltrotor VTOL,Custom,1200,Composite,Hybrid,Custom,Industrial,VTOL UAV
