MotorID,Brand,Category,SubCategory,MotorType,MotorSize,KV_Rating,MaxCurrent_A,MaxPower_W,ShaftDiameter_mm,MountPattern_mm,RecommendedPropSize,CompatibleDroneType,IntendedUse
MTR-0001,EMAX,Motors,FPV Motors,Brushless Outrunner,2207,1700,38,900,5,M3-16x16,5-6 inch,FPV,Freestyle / Racing
MTR-0002,EMAX,Motors,FPV Motors,Brushless Outrunner,2807,1300,45,1200,5,M3-19x19,7 inch,FPV,Long Range / Heavy Lift
MTR-0003,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2207,1750,40,950,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0004,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2506,1500,42,1000,5,M3-19x19,6 inch,FPV,Freestyle / Cinematic
MTR-0005,HGLRC,Motors,FPV Motors,Brushless Outrunner,2306.5,1750,38,880,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0006,HGLRC,Motors,FPV Motors,Brushless Outrunner,2806.5,1300,45,1150,5,M3-19x19,7 inch,FPV,Cinewhoop / Long Range
MTR-0007,BROTHERHOBBY,Motors,FPV Motors,Brushless Outrunner,2812,1115,48,1300,5,M3-19x19,7-8 inch,FPV,Long Range / Heavy Lift
MTR-0008,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,2207,1750,40,950,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0009,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,2806.5,1300,46,1200,5,M3-19x19,7 inch,FPV,Long Range
MTR-0010,RCINPOWER,Motors,FPV Motors,Brushless Outrunner,2207,1800,42,1000,5,M3-16x16,5 inch,FPV,Racing
MTR-0011,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,2212,920,18,350,3.17,M3-16x16,8-10 inch,Multirotor,Camera Drone
MTR-0012,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,2814,900,35,800,4,M3-19x19,10-12 inch,Multirotor,Mapping / Survey
MTR-0013,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,3510,700,55,1800,6,M4-25x25,15-17 inch,Agricultural,Heavy Lift UAV
MTR-0014,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,4114,400,80,2500,6,M4-25x25,18-22 inch,Agricultural,Agriculture / Spraying
MTR-0015,EMAX,Motors,Micro FPV Motors,Brushless Outrunner,1105,5000,8,150,1.5,M2-9x9,2-3 inch,FPV,Micro FPV / Toothpick
MTR-0016,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,802,19000,4,50,1,M1.4-6x6,1.6-2 inch,FPV,Tinywhoop
MTR-0017,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,1103,8000,6,120,1.5,M2-9x9,2-3 inch,FPV,Micro Freestyle
MTR-0018,SunnySky,Motors,Fixed Wing Motors,Brushless Outrunner,2216,1250,22,480,3.17,Cross Mount,9-10 inch,Fixed Wing,RC Airplane
MTR-0019,Turnigy,Motors,Fixed Wing Motors,Brushless Outrunner,3536,910,45,1000,5,Cross Mount,12-14 inch,Fixed Wing,RC Plane / UAV
MTR-0020,T-MOTOR,Motors,Coaxial UAV Motors,Brushless Outrunner,6015,170,120,4000,8,Custom Mount,30+ inch,Agricultural,Heavy Lift UAV
MTR-0021,EMAX,Motors,FPV Motors,Brushless Outrunner,2306,2400,38,900,5,M3-16x16,5 inch,FPV,Racing
MTR-0022,EMAX,Motors,FPV Motors,Brushless Outrunner,2205,2300,32,720,5,M3-16x16,5 inch,FPV,Racing / Beginner
MTR-0023,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2208,1700,45,1050,5,M3-16x16,5-6 inch,FPV,Freestyle
MTR-0024,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2809,1200,48,1300,5,M3-19x19,7-8 inch,FPV,Long Range
MTR-0025,HGLRC,Motors,FPV Motors,Brushless Outrunner,2205,2300,32,700,5,M3-16x16,5 inch,FPV,Beginner FPV
MTR-0026,HGLRC,Motors,FPV Motors,Brushless Outrunner,2004,3000,18,300,5,M3-12x12,3 inch,FPV,Micro FPV
MTR-0027,BROTHERHOBBY,Motors,FPV Motors,Brushless Outrunner,2207,1750,40,950,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0028,BROTHERHOBBY,Motors,FPV Motors,Brushless Outrunner,2507,1500,45,1100,5,M3-19x19,6-7 inch,FPV,Long Range
MTR-0029,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,2306,1950,40,980,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0030,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,2205,2300,33,750,5,M3-16x16,5 inch,FPV,Racing
MTR-0031,RCINPOWER,Motors,FPV Motors,Brushless Outrunner,2306,1900,42,1000,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0032,RCINPOWER,Motors,FPV Motors,Brushless Outrunner,2806.5,1300,45,1150,5,M3-19x19,7 inch,FPV,Long Range
MTR-0033,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,1202.5,6400,6,120,1.5,M2-9x9,2 inch,FPV,Tinywhoop
MTR-0034,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,1102,13500,5,90,1,M1.4-6x6,1.6 inch,FPV,Indoor FPV
MTR-0035,T-MOTOR,Motors,Micro FPV Motors,Brushless Outrunner,1103,8000,7,140,1.5,M2-9x9,2-3 inch,FPV,Micro Freestyle
MTR-0036,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,2216,880,20,400,3.17,M3-16x16,9-10 inch,Multirotor,Camera Drone
MTR-0037,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,3510,630,40,900,5,M3-19x19,13-15 inch,Multirotor,Mapping / Survey
MTR-0038,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,4012,420,70,2200,6,M4-25x25,18-20 inch,Agricultural,Agriculture UAV
MTR-0039,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,5010,300,90,3000,8,M4-25x25,22-26 inch,Agricultural,Heavy Lift UAV
MTR-0040,KDE Direct,Motors,Industrial UAV Motors,Brushless Outrunner,7215,135,120,4500,10,Custom Mount,28-30 inch,Industrial,Heavy Lift UAV
MTR-0041,EMAX,Motors,FPV Motors,Brushless Outrunner,2408,1600,46,1150,5,M3-19x19,6-7 inch,FPV,Freestyle / Long Range
MTR-0042,EMAX,Motors,FPV Motors,Brushless Outrunner,3110,900,55,1500,5,M3-19x19,8 inch,FPV,Long Range
MTR-0043,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2207,1850,42,1000,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0044,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2508,1200,48,1200,5,M3-19x19,7 inch,FPV,Cinematic / Long Range
MTR-0045,HGLRC,Motors,FPV Motors,Brushless Outrunner,2105.5,2650,35,780,5,M3-16x16,5 inch,FPV,Racing
MTR-0046,HGLRC,Motors,FPV Motors,Brushless Outrunner,2407,1700,40,950,5,M3-16x16,5-6 inch,FPV,Freestyle
MTR-0047,BROTHERHOBBY,Motors,FPV Motors,Brushless Outrunner,2006,2400,30,650,5,M3-16x16,5 inch,FPV,Racing
MTR-0048,BROTHERHOBBY,Motors,FPV Motors,Brushless Outrunner,2408,1300,46,1150,5,M3-19x19,6-7 inch,FPV,Long Range
