PropID,Brand,Category,SubCategory,PropType,Diameter_in,Pitch_in,BladeCount,Material,MountType,Rotation,CompatibleDroneType,IntendedUse
PROP-0001,Gemfan,Propellers,FPV Props,Standard,5,4.3,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0002,Gemfan,Propellers,FPV Props,Standard,5,4.6,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0003,Gemfan,Propellers,FPV Props,Standard,5,5.1,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Racing
PROP-0004,HQProp,Propellers,FPV Props,Standard,5,4.3,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0005,HQProp,Propellers,FPV Props,Standard,5,4.8,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0006,HQProp,Propellers,FPV Props,Standard,5,5.2,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Racing
PROP-0007,DALProp,Propellers,FPV Props,Standard,5,4.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0008,DALProp,Propellers,FPV Props,Standard,5,5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Racing
PROP-0009,Azure Power,Propellers,FPV Props,Standard,5,5.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Racing
PROP-0010,Ethix,Propellers,FPV Props,Signature,5,4.2,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0011,Gemfan,Propellers,FPV Props,Standard,6,4.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0012,Gemfan,Propellers,FPV Props,Standard,6,3.8,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0013,HQProp,Propellers,FPV Props,Standard,6,4.3,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Cinematic
PROP-0014,DALProp,Propellers,FPV Props,Standard,6,4,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0015,Ethix,Propellers,FPV Props,Signature,6,4.8,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0016,Gemfan,Propellers,FPV Props,Standard,7,4,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0017,Gemfan,Propellers,FPV Props,Standard,7,3.5,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0018,HQProp,Propellers,FPV Props,Standard,7,4.5,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0019,DALProp,Propellers,FPV Props,Standard,7,3.8,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0020,Ethix,Propellers,FPV Props,Signature,7,4.2,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0021,Gemfan,Propellers,Cinewhoop Props,Ducted,3,3.1,4,Polycarbonate,Press Fit,CW/CCW,FPV,Cinewhoop
PROP-0022,Gemfan,Propellers,Cinewhoop Props,Ducted,3.5,3,4,Polycarbonate,Press Fit,CW/CCW,FPV,Cinewhoop
PROP-0023,HQProp,Propellers,Cinewhoop Props,Ducted,3,2.8,4,Polycarbonate,Press Fit,CW/CCW,FPV,Cinematic
PROP-0024,DALProp,Propellers,Cinewhoop Props,Ducted,3.5,3.5,4,Polycarbonate,Press Fit,CW/CCW,FPV,Cinematic
PROP-0025,Gemfan,Propellers,Cinewhoop Props,Ducted,2.5,3,4,Polycarbonate,Press Fit,CW/CCW,FPV,Indoor Cinewhoop
PROP-0026,Gemfan,Propellers,Micro FPV Props,Standard,2,2,3,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Tinywhoop
PROP-0027,Gemfan,Propellers,Micro FPV Props,Standard,1.6,1.6,3,Polycarbonate,Press Fit,CW/CCW,FPV,Tinywhoop
PROP-0028,HQProp,Propellers,Micro FPV Props,Standard,2.5,2.3,3,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Freestyle
PROP-0029,DALProp,Propellers,Micro FPV Props,Standard,3,3,3,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Freestyle
PROP-0030,Gemfan,Propellers,Micro FPV Props,Standard,4,2.5,2,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Long Range
PROP-0031,APC,Propellers,Fixed Wing Props,Standard,8,4,2,Composite,Collet,CW,Fixed Wing,Trainer Aircraft
PROP-0032,APC,Propellers,Fixed Wing Props,Standard,9,6,2,Composite,Collet,CW,Fixed Wing,RC Plane
PROP-0033,APC,Propellers,Fixed Wing Props,Standard,10,5,2,Composite,Collet,CW,Fixed Wing,Endurance Plane
PROP-0034,APC,Propellers,Fixed Wing Props,Standard,12,6,2,Composite,Collet,CW,Fixed Wing,UAV Plane
PROP-0035,Master Airscrew,Propellers,Fixed Wing Props,Standard,11,7,2,Composite,Collet,CW,Fixed Wing,RC Aircraft
PROP-0036,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,15,5.2,2,Carbon Fiber,Hub Mount,CW/CCW,Agricultural,Agriculture UAV
PROP-0037,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,18,6.1,2,Carbon Fiber,Hub Mount,CW/CCW,Agricultural,Heavy Lift UAV
PROP-0038,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,22,7,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Heavy Lift UAV
PROP-0039,Carbonix,Propellers,Industrial Props,Carbon Fiber,20,6.6,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Survey UAV
PROP-0040,Gemfan,Propellers,Industrial Props,Composite,13,5.5,2,Composite,Hub Mount,CW/CCW,Multirotor,Camera UAV
PROP-0041,APC,Propellers,Multirotor Props,Standard,10,4.5,2,Composite,Hub Mount,CW/CCW,Multirotor,Camera Drone
PROP-0042,APC,Propellers,Multirotor Props,Standard,12,4.5,2,Composite,Hub Mount,CW/CCW,Multirotor,Survey UAV
PROP-0043,APC,Propellers,Multirotor Props,Standard,15,5.5,2,Composite,Hub Mount,CW/CCW,Multirotor,Heavy Lift
