ESCID,MotorID,CompatibilityLevel,RecommendedUse
ESC-0147,MTR-0235,Safe,Cinematic FPV
ESC-0130,MTR-0012,Recommended,Industrial UAV
ESC-0247,MTR-0500,Safe,Long Range FPV
ESC-0031,MTR-0109,Recommended,Racing FPV
ESC-0240,MTR-0001,Safe,Racing FPV
ESC-0236,MTR-0100,Safe,Freestyle FPV
ESC-0004,MTR-0440,Safe,Cinematic FPV
ESC-0172,MTR-0102,HighPerformance,Racing FPV
ESC-0040,MTR-0229,Recommended,Cinematic FPV
ESC-0044,MTR-0194,HighPerformance,Racing FPV
ESC-0054,MTR-0407,Safe,Freestyle FPV
ESC-0237,MTR-0027,HighPerformance,Freestyle FPV
ESC-0022,MTR-0277,Recommended,Freestyle FPV
ESC-0113,MTR-0148,HighPerformance,Industrial UAV
ESC-0270,MTR-0048,Safe,Industrial UAV
ESC-0155,MTR-0043,Recommended,Cinematic FPV
ESC-0083,MTR-0242,HighPerformance,Long Range FPV
ESC-0195,MTR-0304,HighPerformance,Freestyle FPV
ESC-0270,MTR-0214,Safe,Cinematic FPV
ESC-0042,MTR-0470,HighPerformance,Industrial UAV
ESC-0079,MTR-0380,HighPerformance,Industrial UAV
ESC-0236,MTR-0354,Recommended,Cinematic FPV
ESC-0042,MTR-0170,HighPerformance,Industrial UAV
ESC-0068,MTR-0372,HighPerformance,Industrial UAV
ESC-0068,MTR-0146,Safe,Long Range FPV
ESC-0107,MTR-0429,Recommended,Long Range FPV
ESC-0299,MTR-0157,Recommended,Long Range FPV
ESC-0226,MTR-0218,Safe,Long Range FPV
ESC-0202,MTR-0253,HighPerformance,Cinematic FPV
ESC-0016,MTR-0425,Recommended,Long Range FPV
ESC-0024,MTR-0456,HighPerformance,Industrial UAV
ESC-0172,MTR-0105,HighPerformance,Cinematic FPV
ESC-0279,MTR-0094,HighPerformance,Freestyle FPV
ESC-0103,MTR-0003,Safe,Long Range FPV
ESC-0117,MTR-0180,Safe,Industrial UAV
ESC-0232,MTR-0302,HighPerformance,Racing FPV
ESC-0117,MTR-0366,Recommended,Racing FPV
ESC-0265,MTR-0186,HighPerformance,Racing FPV
ESC-0141,MTR-0359,Recommended,Cinematic FPV
ESC-0090,MTR-0212,Recommended,Cinematic FPV
ESC-0041,MTR-0350,Safe,Cinematic FPV
ESC-0123,MTR-0243,Recommended,Cinematic FPV
ESC-0286,MTR-0024,Safe,Industrial UAV
ESC-0280,MTR-0489,Recommended,Freestyle FPV
ESC-0002,MTR-0287,Recommended,Freestyle FPV
ESC-0216,MTR-0253,HighPerformance,Racing FPV
ESC-0144,MTR-0007,Safe,Long Range FPV
ESC-0299,MTR-0012,Safe,Racing FPV
ESC-0157,MTR-0167,Safe,Long Range FPV
ESC-0256,MTR-0264,HighPerformance,Industrial UAV
ESC-0185,MTR-0145,Recommended,Long Range FPV
ESC-0271,MTR-0064,Safe,Freestyle FPV
ESC-0052,MTR-0440,HighPerformance,Freestyle FPV
ESC-0094,MTR-0101,Safe,Industrial UAV
ESC-0194,MTR-0332,Safe,Long Range FPV
ESC-0195,MTR-0237,Safe,Industrial UAV
ESC-0108,MTR-0104,HighPerformance,Freestyle FPV
ESC-0047,MTR-0346,Recommended,Industrial UAV
ESC-0179,MTR-0122,Safe,Racing FPV
