FCID,Brand,Category,SubCategory,Processor,FormFactor,Mounting_mm,SupportedFirmware,IMU,Barometer,OSD,Blackbox,ESCInterface,ConnectorType,SupportedDroneType,IntendedUse
FC-0001,SpeedyBee,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Plug,FPV,Freestyle
FC-0002,SpeedyBee,Flight Controllers,FPV FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Freestyle
FC-0003,iFlight,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,MPU6000,BMP280,Yes,Yes,DSHOT,Plug,FPV,Freestyle
FC-0004,iFlight,Flight Controllers,FPV FC,H7,30x30,30.5,BetaFlight,ICM42688,BMP388,Yes,Yes,DSHOT,Plug,FPV,High Performance
FC-0005,EMAX,Flight Controllers,FPV FC,F4,30x30,30.5,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Beginner
FC-0006,HGLRC,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Plug,FPV,Freestyle
FC-0007,HGLRC,Flight Controllers,FPV FC,F4,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro FPV
FC-0008,Skystars,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,ICM42688,BMP388,Yes,Yes,DSHOT,Plug,FPV,Freestyle
FC-0009,Skystars,Flight Controllers,FPV FC,F4,30x30,30.5,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Beginner
FC-0010,CL Racing,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Plug,FPV,Racing
FC-0011,Matek,Flight Controllers,FPV FC,F722,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Solder,FPV,Advanced FPV
FC-0012,Matek,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro Builds
FC-0013,Matek,Flight Controllers,Fixed Wing FC,F765,30x30,30.5,INAV,ICM42605,BMP280,Yes,Yes,PWM/SBUS,Solder,Fixed Wing,Long Range
FC-0014,Matek,Flight Controllers,Fixed Wing FC,F405-WING,30x30,30.5,INAV,MPU6000,BMP280,Yes,Yes,PWM/SBUS,Solder,Fixed Wing,Survey
FC-0015,Omnibus,Flight Controllers,FPV FC,F4,30x30,30.5,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Legacy
FC-0016,HappyModel,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Tinywhoop
