FrameID,PropellerID,Fits,RecommendedUse
FRM-0452,PROP-0259,Optimal,Long Range FPV
FRM-0143,PROP-0276,Optimal,Long Range FPV
FRM-0041,PROP-0133,Yes,Long Range FPV
FRM-0148,PROP-0088,Yes,Freestyle FPV
FRM-0041,PROP-0231,Optimal,Long Range FPV
FRM-0117,PROP-0149,Yes,Freestyle FPV
FRM-0097,PROP-0254,Yes,Freestyle FPV
FRM-0358,PROP-0127,Optimal,Racing FPV
FRM-0170,PROP-0164,Yes,Freestyle FPV
FRM-0103,PROP-0251,Yes,Long Range FPV
FRM-0280,PROP-0140,Optimal,Freestyle FPV
FRM-0391,PROP-0060,TightFit,Cinematic FPV
FRM-0294,PROP-0115,Yes,Racing FPV
FRM-0001,PROP-0221,Optimal,Long Range FPV
FRM-0060,PROP-0103,Yes,Long Range FPV
FRM-0483,PROP-0149,TightFit,Racing FPV
FRM-0386,PROP-0259,Optimal,Long Range FPV
FRM-0167,PROP-0155,Optimal,Freestyle FPV
FRM-0370,PROP-0275,TightFit,Cinematic FPV
FRM-0482,PROP-0192,TightFit,Freestyle FPV
FRM-0033,PROP-0019,TightFit,Freestyle FPV
FRM-0459,PROP-0118,TightFit,Freestyle FPV
FRM-0354,PROP-0266,Optimal,Racing FPV
FRM-0012,PROP-0016,TightFit,Freestyle FPV
FRM-0021,PROP-0125,Yes,Cinematic FPV
FRM-0313,PROP-0189,TightFit,Cinematic FPV
FRM-0154,PROP-0089,Optimal,Racing FPV
FRM-0468,PROP-0273,Optimal,Freestyle FPV
FRM-0285,PROP-0263,TightFit,Long Range FPV
FRM-0389,PROP-0045,Optimal,Long Range FPV
FRM-0425,PROP-0268,Optimal,Racing FPV
FRM-0273,PROP-0010,Optimal,Cinematic FPV
FRM-0153,PROP-0024,Optimal,Long Range FPV
FRM-0049,PROP-0228,TightFit,Cinematic FPV
FRM-0204,PROP-0017,Optimal,Freestyle FPV
FRM-0007,PROP-0288,Yes,Racing FPV
FRM-0304,PROP-0054,TightFit,Racing FPV
FRM-0340,PROP-0193,Optimal,Cinematic FPV
FRM-0447,PROP-0219,Optimal,Racing FPV
FRM-0385,PROP-0004,Optimal,Cinematic FPV
FRM-0088,PROP-0218,Optimal,Long Range FPV
FRM-0262,PROP-0046,TightFit,Freestyle FPV
FRM-0441,PROP-0234,Optimal,Long Range FPV
FRM-0236,PROP-0213,Yes,Long Range FPV
FRM-0011,PROP-0277,Yes,Racing FPV
FRM-0355,PROP-0023,TightFit,Cinematic FPV
FRM-0128,PROP-0097,Optimal,Long Range FPV
FRM-0343,PROP-0173,TightFit,Racing FPV
FRM-0107,PROP-0280,Yes,Freestyle FPV
FRM-0220,PROP-0091,Optimal,Racing FPV
FRM-0045,PROP-0242,TightFit,Long Range FPV
FRM-0452,PROP-0177,TightFit,Freestyle FPV
FRM-0309,PROP-0116,TightFit,Cinematic FPV
FRM-0308,PROP-0154,Yes,Racing FPV
FRM-0053,PROP-0159,Optimal,Racing FPV
FRM-0053,PROP-0242,Optimal,Racing FPV
FRM-0111,PROP-0246,Yes,Cinematic FPV
FRM-0156,PROP-0286,Optimal,Cinematic FPV
FRM-0080,PROP-0112,Yes,Racing FPV
FRM-0079,PROP-0108,TightFit,Cinematic FPV
FRM-0268,PROP-0136,TightFit,Racing FPV
FRM-0046,PROP-0157,TightFit,Racing FPV
FRM-0500,PROP-0279,TightFit,Long Range FPV
FRM-0486,PROP-0107,Yes,Long Range FPV
FRM-0389,PROP-0118,Optimal,Long Range FPV
FRM-0181,PROP-0136,Optimal,Long Range FPV
FRM-0328,PROP-0004,TightFit,Long Range FPV
FRM-0308,PROP-0061,Optimal,Long Range FPV
FRM-0075,PROP-0167,Yes,Racing FPV
FRM-0499,PROP-0180,Yes,Cinematic FPV
FRM-0209,PROP-0053,Optimal,Freestyle FPV
FRM-0024,PROP-0052,Yes,Racing FPV
FRM-0039,PROP-0106,Yes,Freestyle FPV
FRM-0170,PROP-0246,Yes,Racing FPV
FRM-0063,PROP-0028,Yes,Cinematic FPV
FRM-0218,PROP-0215,Yes,Long Range FPV
FRM-0263,PROP-0144,Optimal,Racing FPV
FRM-0155,PROP-0255,Yes,Cinematic FPV
FRM-0137,PROP-0035,TightFit,Racing FPV
FRM-0181,PROP-0094,Yes,Racing FPV
FRM-0053,PROP-0237,Optimal,Racing FPV
FRM-0335,PROP-0207,Optimal,Racing FPV
FRM-0449,PROP-0057,Yes,Freestyle FPV
FRM-0085,PROP-0178,Yes,Cinematic FPV
FRM-0099,PROP-0033,Optimal,Long Range FPV
FRM-0299,PROP-0036,Optimal,Racing FPV
FRM-0190,PROP-0110,Yes,Freestyle FPV
FRM-0419,PROP-0135,TightFit,Freestyle FPV
FRM-0437,PROP-0049,Yes,Cinematic FPV
FRM-0324,PROP-0221,Yes,Cinematic FPV
FRM-0407,PROP-0229,Yes,Cinematic FPV
FRM-0114,PROP-0067,Yes,Long Range FPV
FRM-0431,PROP-0130,Yes,Long Range FPV
FRM-0168,PROP-0073,TightFit,Long Range FPV
FRM-0244,PROP-0043,Yes,Freestyle FPV
FRM-0081,PROP-0093,Optimal,Freestyle FPV
FRM-0290,PROP-0167,Optimal,Racing FPV
FRM-0320,PROP-0179,Optimal,Racing FPV
FRM-0446,PROP-0248,Yes,Freestyle FPV
FRM-0209,PROP-0166,TightFit,Cinematic FPV
FRM-0009,PROP-0179,TightFit,Long Range FPV
FRM-0088,PROP-0022,TightFit,Long Range FPV
FRM-0236,PROP-0259,Optimal,Freestyle FPV
FRM-0009,PROP-0195,Optimal,Freestyle FPV
FRM-0487,PROP-0297,Yes,Racing FPV
FRM-0335,PROP-0038,TightFit,Racing FPV
FRM-0143,PROP-0238,Yes,Freestyle FPV
FRM-0265,PROP-0294,Yes,Freestyle FPV
FRM-0205,PROP-0028,TightFit,Cinematic FPV
FRM-0129,PROP-0176,Optimal,Long Range FPV
FRM-0478,PROP-0229,Optimal,Cinematic FPV
FRM-0250,PROP-0196,Optimal,Long Range FPV
FRM-0097,PROP-0217,Yes,Freestyle FPV
FRM-0242,PROP-0297,TightFit,Freestyle FPV
FRM-0388,PROP-0212,Yes,Racing FPV
FRM-0352,PROP-0284,Yes,Racing FPV
FRM-0029,PROP-0269,Optimal,Cinematic FPV
FRM-0383,PROP-0058,Optimal,Freestyle FPV
FRM-0452,PROP-0223,Yes,Long Range FPV
FRM-0405,PROP-0101,TightFit,Cinematic FPV
FRM-0500,PROP-0088,TightFit,Freestyle FPV
FRM-0378,PROP-0004,Yes,Racing FPV
FRM-0024,PROP-0199,Yes,Cinematic FPV
FRM-0277,PROP-0161,Yes,Racing FPV
FRM-0463,PROP-0292,Yes,Freestyle FPV
FRM-0158,PROP-0187,Optimal,Cinematic FPV
FRM-0175,PROP-0134,TightFit,Cinematic FPV
FRM-0136,PROP-0284,TightFit,Long Range FPV
FRM-0308,PROP-0064,TightFit,Long Range FPV
FRM-0498,PROP-0231,TightFit,Long Range FPV
