GPSID,Brand,Category,SubCategory,GNSSSupport,CompassIncluded,UpdateRate_Hz,Interface,VoltageInput_V,AntennaType,MountingType,SupportedFirmware,SupportedDroneType,IntendedUse
GPS-0001,HGLRC,GPS Modules,GNSS Module,GPS,Yes,5,UART,3.3-5V,Helical,Mast Mount,INAV,FPV,Long Range FPV
GPS-0002,iFlight,GPS Modules,GNSS Module,Multi-GNSS,No,5,CAN,3.3-5V,Helical,Frame Mount,INAV,Industrial,Mapping / Survey
GPS-0003,HGLRC,GPS Modules,GNSS Module,Multi-GNSS,No,10,I2C,5V,Helical,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0004,Skydroid,GPS Modules,GNSS Module,GPS,No,18,I2C,5V,External Active,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0005,Holybro,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,1,CAN,3.3-5V,Ceramic Patch,Mast Mount,INAV,FPV,Long Range FPV
GPS-0006,Flywoo,GPS Modules,GNSS Module,GPS,No,10,CAN,3.3-5V,Ceramic Patch,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0007,Beitian,GPS Modules,GNSS Module,Multi-GNSS,No,5,I2C,3.3-5V,Ceramic Patch,Frame Mount,Betaflight,FPV,Navigation
GPS-0008,iFlight,GPS Modules,GNSS Module,GPS+BeiDou,Yes,5,I2C,5V,Helical,Frame Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0009,iFlight,GPS Modules,GNSS Module,Multi-GNSS,No,18,UART,5V,Helical,Frame Mount,INAV,FPV,Navigation
GPS-0010,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,10,I2C,5V,Ceramic Patch,Mast Mount,Betaflight,Industrial,Mapping / Survey
GPS-0011,Matek,GPS Modules,GNSS Module,Multi-GNSS,No,1,UART,3.3-5V,Helical,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0012,Foxeer,GPS Modules,GNSS Module,GPS,Yes,18,UART,4-6S BEC,External Active,Frame Mount,INAV,FPV,Navigation
GPS-0013,Beitian,GPS Modules,GNSS Module,GPS,No,5,CAN,4-6S BEC,Ceramic Patch,Frame Mount,Betaflight,FPV,Navigation
GPS-0014,iFlight,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,UART,4-6S BEC,Helical,Frame Mount,INAV,Industrial,Mapping / Survey
GPS-0015,Radiolink,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,CAN,5V,Ceramic Patch,Frame Mount,Betaflight,FPV,Navigation
GPS-0016,Here3,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,I2C,4-6S BEC,Ceramic Patch,Mast Mount,INAV,FPV,Navigation
GPS-0017,T-Motor,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,I2C,4-6S BEC,Ceramic Patch,Frame Mount,INAV,FPV,Long Range FPV
GPS-0018,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,10,UART,4-6S BEC,External Active,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0019,Holybro,GPS Modules,GNSS Module,Multi-GNSS,No,1,UART,5V,Ceramic Patch,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0020,CUAV,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,I2C,3.3-5V,Helical,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0021,Skydroid,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,10,CAN,4-6S BEC,Ceramic Patch,Mast Mount,INAV,FPV,Long Range FPV
