MotorID,PropellerID,CompatibilityLevel,RecommendedUse
MTR-0224,PROP-0254,Performance,Freestyle FPV
MTR-0257,PROP-0116,Performance,Freestyle FPV
MTR-0229,PROP-0273,Safe,Racing FPV
MTR-0452,PROP-0161,Safe,Cinematic FPV
MTR-0414,PROP-0063,Safe,Racing FPV
MTR-0344,PROP-0276,Safe,Cinematic FPV
MTR-0155,PROP-0289,Performance,Freestyle FPV
MTR-0106,PROP-0045,Safe,Cinematic FPV
MTR-0100,PROP-0198,Recommended,Cinematic FPV
MTR-0279,PROP-0169,Safe,Long Range FPV
MTR-0062,PROP-0276,Recommended,Freestyle FPV
MTR-0372,PROP-0055,Safe,Long Range FPV
MTR-0489,PROP-0286,Recommended,Cinematic FPV
MTR-0427,PROP-0033,Performance,Racing FPV
MTR-0021,PROP-0150,Performance,Cinematic FPV
MTR-0437,PROP-0198,Recommended,Freestyle FPV
MTR-0117,PROP-0234,Performance,Long Range FPV
MTR-0193,PROP-0168,Recommended,Freestyle FPV
MTR-0265,PROP-0084,Performance,Long Range FPV
MTR-0160,PROP-0080,Recommended,Racing FPV
MTR-0091,PROP-0248,Recommended,Freestyle FPV
MTR-0414,PROP-0182,Safe,Freestyle FPV
MTR-0173,PROP-0089,Performance,Freestyle FPV
MTR-0005,PROP-0264,Safe,Cinematic FPV
MTR-0344,PROP-0135,Safe,Freestyle FPV
MTR-0218,PROP-0096,Performance,Freestyle FPV
MTR-0414,PROP-0174,Safe,Freestyle FPV
MTR-0424,PROP-0005,Safe,Long Range FPV
MTR-0135,PROP-0105,Performance,Racing FPV
MTR-0242,PROP-0062,Performance,Long Range FPV
MTR-0344,PROP-0299,Performance,Cinematic FPV
MTR-0148,PROP-0082,Performance,Long Range FPV
MTR-0392,PROP-0263,Recommended,Racing FPV
MTR-0464,PROP-0163,Performance,Cinematic FPV
MTR-0440,PROP-0100,Performance,Racing FPV
MTR-0130,PROP-0266,Recommended,Freestyle FPV
MTR-0164,PROP-0065,Recommended,Freestyle FPV
MTR-0326,PROP-0113,Recommended,Long Range FPV
MTR-0206,PROP-0239,Performance,Long Range FPV
MTR-0277,PROP-0065,Safe,Freestyle FPV
MTR-0351,PROP-0074,Safe,Long Range FPV
MTR-0091,PROP-0025,Performance,Racing FPV
MTR-0155,PROP-0132,Safe,Long Range FPV
MTR-0344,PROP-0120,Recommended,Cinematic FPV
MTR-0389,PROP-0074,Performance,Freestyle FPV
MTR-0286,PROP-0267,Performance,Racing FPV
MTR-0446,PROP-0084,Recommended,Racing FPV
MTR-0125,PROP-0090,Safe,Racing FPV
MTR-0044,PROP-0253,Safe,Racing FPV
MTR-0029,PROP-0151,Recommended,Freestyle FPV
MTR-0014,PROP-0110,Safe,Cinematic FPV
MTR-0285,PROP-0154,Recommended,Long Range FPV
MTR-0282,PROP-0172,Safe,Freestyle FPV
MTR-0338,PROP-0067,Safe,Freestyle FPV
MTR-0429,PROP-0237,Performance,Long Range FPV
MTR-0434,PROP-0172,Safe,Cinematic FPV
MTR-0062,PROP-0173,Performance,Long Range FPV
MTR-0462,PROP-0086,Safe,Racing FPV
MTR-0442,PROP-0110,Recommended,Freestyle FPV
MTR-0245,PROP-0273,Safe,Cinematic FPV
MTR-0017,PROP-0070,Safe,Racing FPV
MTR-0324,PROP-0130,Recommended,Long Range FPV
MTR-0037,PROP-0115,Performance,Freestyle FPV
MTR-0365,PROP-0128,Recommended,Racing FPV
MTR-0301,PROP-0148,Recommended,Racing FPV
MTR-0202,PROP-0140,Recommended,Long Range FPV
MTR-0053,PROP-0109,Safe,Freestyle FPV
MTR-0413,PROP-0090,Performance,Long Range FPV
MTR-0141,PROP-0050,Safe,Freestyle FPV
MTR-0200,PROP-0123,Performance,Long Range FPV
MTR-0191,PROP-0158,Safe,Cinematic FPV
MTR-0142,PROP-0104,Recommended,Racing FPV
MTR-0193,PROP-0213,Recommended,Cinematic FPV
MTR-0259,PROP-0088,Safe,Long Range FPV
MTR-0119,PROP-0084,Recommended,Racing FPV
MTR-0473,PROP-0083,Recommended,Cinematic FPV
MTR-0420,PROP-0219,Safe,Racing FPV
MTR-0140,PROP-0185,Performance,Freestyle FPV
MTR-0168,PROP-0278,Safe,Long Range FPV
MTR-0328,PROP-0053,Recommended,Long Range FPV
MTR-0218,PROP-0289,Performance,Freestyle FPV
MTR-0374,PROP-0097,Recommended,Cinematic FPV
MTR-0395,PROP-0260,Recommended,Long Range FPV
MTR-0079,PROP-0201,Recommended,Long Range FPV
MTR-0432,PROP-0089,Performance,Long Range FPV
MTR-0031,PROP-0261,Recommended,Cinematic FPV
MTR-0312,PROP-0198,Performance,Cinematic FPV
MTR-0058,PROP-0274,Safe,Racing FPV
MTR-0434,PROP-0223,Safe,Racing FPV
MTR-0435,PROP-0180,Recommended,Cinematic FPV
MTR-0054,PROP-0055,Performance,Long Range FPV
MTR-0361,PROP-0260,Recommended,Freestyle FPV
MTR-0182,PROP-0063,Safe,Long Range FPV
MTR-0153,PROP-0086,Performance,Freestyle FPV
MTR-0408,PROP-0244,Safe,Cinematic FPV
MTR-0295,PROP-0110,Recommended,Freestyle FPV
MTR-0152,PROP-0114,Safe,Racing FPV
MTR-0453,PROP-0167,Performance,Racing FPV
MTR-0496,PROP-0285,Safe,Racing FPV
MTR-0141,PROP-0083,Recommended,Racing FPV
MTR-0411,PROP-0253,Recommended,Racing FPV
MTR-0239,PROP-0194,Safe,Racing FPV
MTR-0337,PROP-0036,Performance,Freestyle FPV
MTR-0092,PROP-0216,Recommended,Long Range FPV
MTR-0156,PROP-0072,Recommended,Cinematic FPV
MTR-0079,PROP-0224,Safe,Cinematic FPV
MTR-0447,PROP-0194,Performance,Freestyle FPV
MTR-0455,PROP-0286,Safe,Long Range FPV
MTR-0465,PROP-0291,Performance,Long Range FPV
MTR-0075,PROP-0124,Performance,Racing FPV
MTR-0413,PROP-0025,Performance,Long Range FPV
MTR-0049,PROP-0035,Recommended,Freestyle FPV
MTR-0481,PROP-0131,Recommended,Long Range FPV
MTR-0080,PROP-0009,Performance,Cinematic FPV
MTR-0243,PROP-0297,Recommended,Cinematic FPV
MTR-0402,PROP-0031,Performance,Racing FPV
MTR-0006,PROP-0117,Recommended,Freestyle FPV
MTR-0163,PROP-0110,Safe,Cinematic FPV
MTR-0246,PROP-0183,Safe,Racing FPV
MTR-0155,PROP-0040,Safe,Long Range FPV
MTR-0247,PROP-0085,Performance,Cinematic FPV
MTR-0145,PROP-0282,Performance,Racing FPV
MTR-0027,PROP-0157,Performance,Cinematic FPV
