BuildID,BuildType,FrameID,MotorID,PropellerID,ESCID,BatteryID,FlightControllerID,CompatibilityStatus,RecommendedUse
BLD-0001,3in Cinewhoop Build,FRM-0126,MTR-0411,PROP-0096,ESC-0271,BAT-0098,FC-0373,Compatible,Cinematic FPV
BLD-0002,Mapping UAV Build,FRM-0464,MTR-0227,PROP-0096,ESC-0055,BAT-0002,FC-0288,Compatible,Cinematic FPV
BLD-0003,Mapping UAV Build,FRM-0232,MTR-0274,PROP-0080,ESC-0243,BAT-0292,FC-0221,Compatible,Long Range FPV
BLD-0004,7in Long Range Build,FRM-0210,MTR-0214,PROP-0086,ESC-0183,BAT-0106,FC-0225,Compatible,Mapping / Survey
BLD-0005,Racing Build,FRM-0461,MTR-0046,PROP-0038,ESC-0189,BAT-0051,FC-0351,Compatible,Cinematic FPV
BLD-0006,Micro Whoop Build,FRM-0385,MTR-0111,PROP-0202,ESC-0061,BAT-0178,FC-0135,Compatible,Freestyle FPV
BLD-0007,3in Cinewhoop Build,FRM-0165,MTR-0375,PROP-0058,ESC-0105,BAT-0083,FC-0057,Compatible,Freestyle FPV
BLD-0008,5in Freestyle Build,FRM-0367,MTR-0120,PROP-0126,ESC-0122,BAT-0065,FC-0197,Compatible,Cinematic FPV
BLD-0009,Racing Build,FRM-0399,MTR-0312,PROP-0282,ESC-0022,BAT-0188,FC-0165,Compatible,Cinematic FPV
BLD-0010,5in Freestyle Build,FRM-0211,MTR-0394,PROP-0275,ESC-0215,BAT-0168,FC-0197,Compatible,Agriculture Monitoring
BLD-0011,7in Long Range Build,FRM-0143,MTR-0103,PROP-0226,ESC-0031,BAT-0199,FC-0241,Compatible,Freestyle FPV
BLD-0012,Racing Build,FRM-0174,MTR-0420,PROP-0094,ESC-0039,BAT-0263,FC-0252,Compatible,Mapping / Survey
BLD-0013,Racing Build,FRM-0129,MTR-0130,PROP-0013,ESC-0183,BAT-0101,FC-0194,Compatible,Agriculture Monitoring
BLD-0014,3in Cinewhoop Build,FRM-0321,MTR-0060,PROP-0255,ESC-0014,BAT-0240,FC-0047,Compatible,Agriculture Monitoring
BLD-0015,Racing Build,FRM-0376,MTR-0403,PROP-0192,ESC-0212,BAT-0041,FC-0251,Compatible,Cinematic FPV
BLD-0016,7in Long Range Build,FRM-0231,MTR-0011,PROP-0094,ESC-0197,BAT-0132,FC-0155,Compatible,Freestyle FPV
BLD-0017,7in Long Range Build,FRM-0203,MTR-0388,PROP-0137,ESC-0300,BAT-0232,FC-0039,Compatible,Agriculture Monitoring
BLD-0018,Micro Whoop Build,FRM-0109,MTR-0294,PROP-0043,ESC-0249,BAT-0103,FC-0160,Compatible,Racing FPV
BLD-0019,Racing Build,FRM-0432,MTR-0072,PROP-0061,ESC-0152,BAT-0037,FC-0103,Compatible,Mapping / Survey
BLD-0020,Racing Build,FRM-0381,MTR-0149,PROP-0185,ESC-0023,BAT-0107,FC-0062,Compatible,Agriculture Monitoring
BLD-0021,Agriculture Scout Build,FRM-0274,MTR-0091,PROP-0058,ESC-0015,BAT-0198,FC-0124,Compatible,Long Range FPV
BLD-0022,Mapping UAV Build,FRM-0097,MTR-0218,PROP-0173,ESC-0294,BAT-0112,FC-0092,Compatible,Agriculture Monitoring
BLD-0023,Racing Build,FRM-0196,MTR-0168,PROP-0018,ESC-0035,BAT-0259,FC-0059,Compatible,Racing FPV
BLD-0024,Micro Whoop Build,FRM-0403,MTR-0245,PROP-0044,ESC-0051,BAT-0057,FC-0067,Compatible,Freestyle FPV
BLD-0025,3in Cinewhoop Build,FRM-0239,MTR-0224,PROP-0039,ESC-0008,BAT-0224,FC-0158,Compatible,Long Range FPV
BLD-0026,7in Long Range Build,FRM-0179,MTR-0172,PROP-0112,ESC-0204,BAT-0083,FC-0077,Compatible,Long Range FPV
BLD-0027,3in Cinewhoop Build,FRM-0230,MTR-0311,PROP-0008,ESC-0180,BAT-0280,FC-0317,Compatible,Cinematic FPV
BLD-0028,Racing Build,FRM-0233,MTR-0251,PROP-0048,ESC-0266,BAT-0137,FC-0007,Compatible,Long Range FPV
BLD-0029,7in Long Range Build,FRM-0419,MTR-0410,PROP-0097,ESC-0227,BAT-0065,FC-0215,Compatible,Racing FPV
BLD-0030,Micro Whoop Build,FRM-0492,MTR-0329,PROP-0276,ESC-0007,BAT-0198,FC-0175,Compatible,Freestyle FPV
BLD-0031,Mapping UAV Build,FRM-0053,MTR-0021,PROP-0274,ESC-0016,BAT-0272,FC-0357,Compatible,Cinematic FPV
BLD-0032,3in Cinewhoop Build,FRM-0129,MTR-0019,PROP-0138,ESC-0102,BAT-0132,FC-0325,Compatible,Mapping / Survey
BLD-0033,3in Cinewhoop Build,FRM-0241,MTR-0126,PROP-0009,ESC-0015,BAT-0267,FC-0229,Compatible,Agriculture Monitoring
BLD-0034,Mapping UAV Build,FRM-0155,MTR-0490,PROP-0162,ESC-0050,BAT-0067,FC-0224,Compatible,Racing FPV
BLD-0035,Agriculture Scout Build,FRM-0247,MTR-0279,PROP-0149,ESC-0196,BAT-0138,FC-0228,Compatible,Cinematic FPV
BLD-0036,7in Long Range Build,FRM-0099,MTR-0216,PROP-0064,ESC-0005,BAT-0194,FC-0267,Compatible,Long Range FPV
BLD-0037,7in Long Range Build,FRM-0171,MTR-0298,PROP-0274,ESC-0005,BAT-0066,FC-0021,Compatible,Mapping / Survey
BLD-0038,Agriculture Scout Build,FRM-0293,MTR-0188,PROP-0118,ESC-0112,BAT-0028,FC-0283,Compatible,Cinematic FPV
BLD-0039,5in Freestyle Build,FRM-0025,MTR-0010,PROP-0275,ESC-0131,BAT-0235,FC-0182,Compatible,Mapping / Survey
BLD-0040,Mapping UAV Build,FRM-0106,MTR-0399,PROP-0183,ESC-0106,BAT-0249,FC-0305,Compatible,Mapping / Survey
BLD-0041,Micro Whoop Build,FRM-0256,MTR-0021,PROP-0078,ESC-0081,BAT-0057,FC-0122,Compatible,Cinematic FPV
BLD-0042,3in Cinewhoop Build,FRM-0199,MTR-0407,PROP-0179,ESC-0158,BAT-0093,FC-0174,Compatible,Mapping / Survey
BLD-0043,Racing Build,FRM-0341,MTR-0360,PROP-0210,ESC-0167,BAT-0277,FC-0200,Compatible,Racing FPV
BLD-0044,Mapping UAV Build,FRM-0371,MTR-0212,PROP-0047,ESC-0166,BAT-0108,FC-0269,Compatible,Mapping / Survey
BLD-0045,Agriculture Scout Build,FRM-0259,MTR-0078,PROP-0253,ESC-0275,BAT-0122,FC-0375,Compatible,Long Range FPV
BLD-0046,7in Long Range Build,FRM-0160,MTR-0071,PROP-0204,ESC-0094,BAT-0186,FC-0259,Compatible,Freestyle FPV
