VTXID,Brand,Category,SubCategory,VideoSystem,FrequencyBand,OutputPower_mW,ChannelCount,InputVoltage,AntennaConnector,ControlProtocol,MountPattern_mm,AntennaType,SupportedDroneType,IntendedUse
VTX-0001,Flywoo,Video Transmitter,FPV VTX,Analog,1.3GHz,1600,40,5V,MMCX,None,25.5x25.5,LHCP,Industrial,Industrial UAV
VTX-0002,Diatone,Video Transmitter,FPV VTX,Walksnail,2.4GHz,800,32,3-6S,SMA,None,30x30,LHCP,FPV,Long Range FPV
VTX-0003,AKK,Video Transmitter,FPV VTX,HD Digital,1.3GHz,200,16,2-6S,MMCX,MSP,25.5x25.5,Circular,Industrial,Industrial UAV
VTX-0004,Flywoo,Video Transmitter,FPV VTX,Analog,1.3GHz,100,32,7-26V,MMCX,Tramp,30x30,Circular,FPV,Freestyle FPV
VTX-0005,iFlight,Video Transmitter,FPV VTX,Walksnail,1.3GHz,1600,8,5V,RP-SMA,MSP,Whoop,Circular,FPV,Cinematic FPV
VTX-0006,HGLRC,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,25,32,7-26V,U.FL,SmartAudio,25.5x25.5,LHCP,FPV,Cinematic FPV
VTX-0007,Diatone,Video Transmitter,FPV VTX,Walksnail,5.8GHz,800,24,3-6S,MMCX,Tramp,20x20,Circular,Industrial,Industrial UAV
VTX-0008,Eachine,Video Transmitter,FPV VTX,HDZero,2.4GHz,1000,8,2-6S,SMA,None,25.5x25.5,LHCP,FPV,Cinematic FPV
VTX-0009,TBS,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,1600,40,7-26V,RP-SMA,None,25.5x25.5,LHCP,FPV,Racing FPV
VTX-0010,iFlight,Video Transmitter,FPV VTX,HD Digital,2.4GHz,100,8,3-6S,U.FL,None,Whoop,RHCP,FPV,Freestyle FPV
VTX-0011,TBS,Video Transmitter,FPV VTX,HDZero,5.8GHz,25,8,5V,SMA,None,30x30,RHCP,FPV,Long Range FPV
VTX-0012,TBS,Video Transmitter,FPV VTX,HD Digital,2.4GHz,500,16,5V,U.FL,Tramp,Whoop,RHCP,FPV,Long Range FPV
VTX-0013,HGLRC,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,1000,8,2-6S,MMCX,MSP,30x30,Linear,Industrial,Industrial UAV
VTX-0014,Walksnail,Video Transmitter,FPV VTX,Walksnail,5.8GHz,1600,16,2-6S,MMCX,MSP,Whoop,LHCP,FPV,Cinematic FPV
VTX-0015,TBS,Video Transmitter,FPV VTX,HD Digital,1.3GHz,100,32,5V,SMA,None,20x20,RHCP,FPV,Long Range FPV
VTX-0016,iFlight,Video Transmitter,FPV VTX,HDZero,5.8GHz,25,32,5V,SMA,MSP,Whoop,Linear,FPV,Cinematic FPV
VTX-0017,SpeedyBee,Video Transmitter,FPV VTX,Analog,2.4GHz,200,40,5V,U.FL,Tramp,25.5x25.5,LHCP,FPV,Long Range FPV
