BatteryID,Brand,Category,SubCategory,BatteryChemistry,CellCount_S,Voltage_V,Capacity_mAh,DischargeRate_C,Energy_Wh,ConnectorType,IntendedUse,CompatibleDroneType
BAT-0301,CNHL,Batteries,LiPo FPV Battery,LiPo,6,22.2,2050,90,45.51,XT60,Long Range FPV,FPV
BAT-0302,DOGCOM,Batteries,LiPo FPV Battery,LiPo,6,22.2,1350,140,29.97,XT60,Freestyle FPV,FPV
BAT-0303,Gens Ace,Batteries,LiPo FPV Battery,LiPo,6,22.2,1700,130,37.74,XT60,Racing FPV,FPV
BAT-0304,DOGCOM,Batteries,LiPo FPV Battery,LiPo,6,22.2,1900,150,42.18,XT60,High Performance Racing,FPV
BAT-0305,Gens Ace,Batteries,LiPo FPV Battery,LiPo,6,22.2,1650,130,36.63,XT60,Racing FPV,FPV
BAT-0306,DOGCOM,Batteries,LiPo FPV Battery,LiPo,6,22.2,1400,130,31.08,XT60,Freestyle FPV,FPV
BAT-0307,Gens Ace,Batteries,LiPo FPV Battery,LiPo,6,22.2,1700,130,37.74,XT60,Racing FPV,FPV
BAT-0308,Gens Ace,Batteries,LiPo FPV Battery,LiPo,6,22.2,1600,120,35.52,XT60,Racing FPV,FPV
BAT-0309,Ovonic,Batteries,LiPo FPV Battery,LiPo,4,14.8,1600,100,23.68,XT60,Freestyle FPV,FPV
BAT-0310,Gaoneng GNB,Batteries,LiPo FPV Battery,LiPo,6,22.2,1600,140,35.52,XT60,Racing FPV,FPV
BAT-0311,CNHL,Batteries,LiPo FPV Battery,LiPo,6,22.2,2100,90,46.62,XT60,Long Range FPV,FPV
BAT-0312,Tattu,Batteries,LiPo FPV Battery,LiPo,4,14.8,900,140,13.32,XT30,Cinewhoop / Racing,FPV
BAT-0313,CNHL,Batteries,LiPo FPV Battery,LiPo,4,14.8,1450,130,21.46,XT60,Freestyle FPV,FPV
BAT-0314,Zeee,Batteries,LiPo FPV Battery,LiPo,4,14.8,1500,120,22.2,XT60,Freestyle FPV,FPV
BAT-0315,Gaoneng GNB,Batteries,LiPo FPV Battery,LiPo,4,14.8,1100,120,16.28,XT60,Freestyle FPV,FPV
BAT-0316,Ovonic,Batteries,LiPo FPV Battery,LiPo,4,14.8,800,70,11.84,XT30,Cinewhoop,Cinewhoop
BAT-0317,Ovonic,Batteries,LiPo FPV Battery,LiPo,6,22.2,1600,120,35.52,XT60,Racing FPV,FPV
